stop_id                     , stop_name                           , latitude          , longitude        , locality          , zone                , active
STOP_GGN_SIKANDER_393       , Sikanderpur Metro                   , 28.481340735144723, 77.09259234110453, Gurgaon           , GURGAON             , TRUE
STOP_GGN_SUNCITY_394        , Sun City/Sec 54 Chowk               , 28.437293679114322, 77.10385722447545, Gurgaon           , GURGAON             , TRUE
STOP_GGN_SEC55_56_395       , Sec 55-56 Rapid Metro               , 28.42378708573979 , 77.10534656811735, Gurgaon           , GURGAON             , TRUE
STOP_GGN_SURAJ_396          , Suraj School                        , 28.42451280742166 , 77.10156922391508, Gurgaon           , GURGAON             , TRUE
STOP_GGN_HARISH_397         , Harish Bakery                       , 28.42797338994093 , 77.10029396669036, Gurgaon           , GURGAON             , TRUE
STOP_GGN_JALVAYU_398        , Jalvayu Tower                       , 28.431250038730624, 77.09579988317132, Gurgaon           , GURGAON             , TRUE
STOP_GGN_WAZIRABAD_399      , Wazirabad Red Light                 , 28.429589874819342, 77.09141956869414, Gurgaon           , GURGAON             , TRUE
STOP_GGN_HONGKONG_400       , Hong Kong Mkt Red Light             , 28.42131572228005 , 77.09029010482755, Gurgaon           , GURGAON             , TRUE
STOP_GGN_SEC57_401          , Sec 57 Tehsil                       , 28.42320996872587 , 77.07628909071488, Gurgaon           , GURGAON             , TRUE
STOP_GGN_DHARAM_402         , Dharam Marg Society Cut             ,                   ,                  , Gurgaon           , GURGAON             , TRUE
STOP_GGN_DPS_403            , DPS School                          , 28.44272773817143 , 77.06486286434516, Gurgaon           , GURGAON             , TRUE
STOP_GGN_XAVIER_404         , St. Xavier School/Marbella Villas   , 28.393899938526356, 76.94801640141402, Gurgaon           , GURGAON             , TRUE
STOP_GGN_SAI_KUNJ_405       , Sai Kunj                            ,                   ,                  , Gurgaon           , GURGAON             , TRUE
STOP_GGN_MAHENDRA_406       , Mahendra Aura                       , 28.512901164825024, 77.02548434246101, Gurgaon           , GURGAON             , TRUE
STOP_GGN_KRISHAN_407        , Krishan Chowk                       , 28.503592744213346, 77.02845920464904, Gurgaon           , GURGAON             , TRUE
STOP_GGN_PALAM_C12_408      , Palam Vihar C1/2 Gate               , 28.50435095488018 , 77.02796400653015, Gurgaon           , GURGAON             , TRUE
STOP_GGN_VYAPAR_409         , Vayapar Kendra                      , 28.46043222699513 , 77.0844377458422 , Gurgaon           , GURGAON             , TRUE
STOP_GGN_GARMIN_410         , Garmin Bank                         , 28.514143804401826, 77.07668242974886, Gurgaon           , GURGAON             , TRUE
STOP_GGN_MAHINDRA_SHOW_411  , Mahindra Showroom                   ,                   ,                  , Gurgaon           , GURGAON             , TRUE
STOP_GGN_ASHOK_C1_412       , Ashok Vihar C1 Gate                 , 28.497801276239535, 77.02292712218895, Gurgaon           , GURGAON             , TRUE
